Date,From,To,DDH,Gamma,VIX,NAV
2023-05-15,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,17.1200008392334,1.3046780090926584
2023-05-22,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,17.209999084472656,1.328684289507613
2023-05-25,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,19.139999389648438,1.2971788579490737
2023-05-31,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,17.940000534057617,1.3173267655620795
2023-06-27,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,13.739999771118164,1.3047065921978134
2023-07-06,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,15.4399995803833,1.3170674544272118
2023-07-28,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,13.329999923706055,1.3474275324881138
2023-11-17,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,13.800000190734863,1.3860108207185027
2024-01-04,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,14.130000114440918,1.4068842496999963
2024-02-05,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,13.670000076293945,1.469032834218969
2024-04-23,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,15.6899995803833,1.7453516746947557
2024-05-07,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,13.229999542236328,1.822142712562605
2024-06-03,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,13.109999656677246,1.8843173382242913
2024-06-07,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,12.220000267028809,1.8462115255067377
2024-06-10,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,12.739999771118164,1.8609377295158211
2024-06-21,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,13.199999809265137,1.8969393941643033
2024-07-19,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,16.520000457763672,1.8472230588265188
2024-08-05,CAUTIOUS_BULL,CRISIS_MODE,FAST_SHOCK,GROWTH,38.56999969482422,1.8069636080956168
2024-08-08,CRISIS_MODE,RECOVERY_GROWTH,RECOVERY_ACCEL,GROWTH,23.790000915527344,1.8629937462147423
2024-08-16,RECOVERY_GROWTH,GOLDILOCKS,NORMAL_TRENDING,GROWTH,14.800000190734863,1.9779590952508033
2024-11-07,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,15.199999809265137,2.201793643379312
2024-12-18,CAUTIOUS_BULL,CRISIS_MODE,FAST_SHOCK,GROWTH,27.6200008392334,2.079889136642825
2024-12-19,CRISIS_MODE,RECOVERY_GROWTH,RECOVERY_ACCEL,GROWTH,24.09000015258789,2.076646260621607
2025-01-23,RECOVERY_GROWTH,GOLDILOCKS,NORMAL_TRENDING,GROWTH,15.020000457763672,2.2878695974508916
2025-02-28,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,19.6299991607666,2.304068355801408
2025-03-14,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,21.770000457763672,2.4091823232351315
2025-04-03,GOLDILOCKS,CRISIS_MODE,FAST_SHOCK,GROWTH,30.020000457763672,2.4274850172427302
2025-04-04,CRISIS_MODE,RECOVERY_GROWTH,RECOVERY_ACCEL,GROWTH,45.310001373291016,2.319173279165114
2025-04-07,RECOVERY_GROWTH,CRISIS_MODE,FAST_SHOCK,GROWTH,46.97999954223633,2.2753676212377867
2025-04-08,CRISIS_MODE,RECOVERY_GROWTH,RECOVERY_ACCEL,GROWTH,52.33000183105469,2.2833778221756877
2025-04-09,RECOVERY_GROWTH,CRISIS_MODE,FAST_SHOCK,GROWTH,33.619998931884766,2.3819283121985513
2025-04-10,CRISIS_MODE,RECOVERY_GROWTH,RECOVERY_ACCEL,GROWTH,40.720001220703125,2.4102196472513078
2025-04-11,RECOVERY_GROWTH,CRISIS_MODE,FAST_SHOCK,GROWTH,37.560001373291016,2.431956404933558
2025-04-14,CRISIS_MODE,RECOVERY_GROWTH,RECOVERY_ACCEL,GROWTH,30.889999389648438,2.4582296744634244
2025-04-15,RECOVERY_GROWTH,GOLDILOCKS,NORMAL_TRENDING,GROWTH,30.1200008392334,2.489516873099946
2025-05-13,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,18.219999313354492,2.4435988125146646
2025-05-21,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,20.8700008392334,2.565976179236029
2025-10-20,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,18.229999542236328,3.6377325061747614
2025-10-21,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,17.8700008392334,3.4536654328974667
2025-10-22,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,18.600000381469727,3.4079056236245737
2025-11-12,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,17.510000228881836,3.681544311707173
2025-11-14,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,19.829999923706055,3.501838119254557
2025-12-09,CAUTIOUS_BULL,GOLDILOCKS,NORMAL_TRENDING,GROWTH,16.93000030517578,3.7019604331913945
2026-02-02,GOLDILOCKS,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,16.34000015258789,4.141751365151882
2026-03-06,CAUTIOUS_BULL,CRISIS_MODE,FAST_SHOCK,GROWTH,29.489999771118164,4.270887009199143
2026-03-09,CRISIS_MODE,RECOVERY_GROWTH,RECOVERY_ACCEL,GROWTH,25.5,4.351639019185041
2026-03-16,RECOVERY_GROWTH,CAUTIOUS_BULL,EARLY_DD_UNCERTAINTY,GROWTH,23.510000228881836,4.2749458307126265
