Date,Ticker,Signal,Pain_Score,Sobel_Mag,Next_5d_Return,Verdict
2020-08-18,SLV,VISUAL BREAK (Sobel: 2.50 > 2.5),-0.01,2.5,-4.33,GOOD_SAVE
2020-08-18,PSLV,VISUAL BREAK (Sobel: 2.85 > 2.5),0.01,2.85,-4.79,GOOD_SAVE
2020-08-19,PSLV,VISUAL BREAK (Sobel: 3.12 > 2.5),0.0,3.12,3.07,NOISE
2020-08-20,PSLV,VISUAL BREAK (Sobel: 2.73 > 2.5),0.01,2.73,-0.41,NOISE
2020-08-21,PSLV,VISUAL BREAK (Sobel: 3.05 > 2.5),0.01,3.05,5.02,MISSED_RALLY
2020-08-25,PSLV,VISUAL BREAK (Sobel: 2.52 > 2.5),0.01,2.52,6.84,MISSED_RALLY
2020-08-26,PSLV,VISUAL BREAK (Sobel: 2.61 > 2.5),-0.0,2.61,-0.21,NOISE
2020-08-27,PSLV,VISUAL BREAK (Sobel: 2.56 > 2.5),0.01,2.56,-2.8,GOOD_SAVE
2020-08-31,PSLV,VISUAL BREAK (Sobel: 2.66 > 2.5),0.0,2.66,-5.0,GOOD_SAVE
2020-09-01,PSLV,VISUAL BREAK (Sobel: 2.62 > 2.5),0.01,2.62,-5.81,GOOD_SAVE
2020-09-02,PSLV,VISUAL BREAK (Sobel: 2.65 > 2.5),0.0,2.65,-1.54,GOOD_SAVE
2020-09-03,PSLV,VISUAL BREAK (Sobel: 2.66 > 2.5),-0.0,2.66,1.39,NOISE
2021-02-25,601899.SS,VISUAL BREAK (Sobel: 2.87 > 2.5),-0.0,2.87,-11.79,GOOD_SAVE
2021-11-04,NVDA,VISUAL BREAK (Sobel: 2.53 > 2.5),-0.0,2.53,1.98,NOISE
2021-11-09,NVDA,VISUAL BREAK (Sobel: 2.50 > 2.5),0.0,2.5,-1.48,GOOD_SAVE
2021-11-10,NVDA,VISUAL BREAK (Sobel: 2.88 > 2.5),-0.0,2.88,-0.67,NOISE
2021-11-15,NVDA,VISUAL BREAK (Sobel: 2.51 > 2.5),-0.0,2.51,6.43,MISSED_RALLY
2021-11-17,NVDA,VISUAL BREAK (Sobel: 2.81 > 2.5),0.0,2.81,11.66,MISSED_RALLY
2021-11-18,NVDA,VISUAL BREAK (Sobel: 2.86 > 2.5),-0.0,2.86,3.15,NOISE
2021-11-19,NVDA,VISUAL BREAK (Sobel: 2.73 > 2.5),-0.0,2.73,-4.49,GOOD_SAVE
2021-11-22,NVDA,VISUAL BREAK (Sobel: 3.51 > 2.5),-0.01,3.51,4.44,NOISE
2021-11-23,NVDA,VISUAL BREAK (Sobel: 3.28 > 2.5),-0.01,3.28,2.93,NOISE
2021-11-24,NVDA,VISUAL BREAK (Sobel: 2.68 > 2.5),-0.02,2.68,-3.78,GOOD_SAVE
2021-11-25,NVDA,VISUAL BREAK (Sobel: 2.68 > 2.5),-0.02,2.68,-1.67,GOOD_SAVE
2021-11-26,NVDA,VISUAL BREAK (Sobel: 3.37 > 2.5),-0.01,3.37,-2.56,GOOD_SAVE
2021-11-29,NVDA,VISUAL BREAK (Sobel: 3.02 > 2.5),-0.0,3.02,-9.99,GOOD_SAVE
2021-11-30,NVDA,VISUAL BREAK (Sobel: 3.32 > 2.5),0.0,3.32,-0.75,NOISE
2021-12-01,NVDA,VISUAL BREAK (Sobel: 3.83 > 2.5),-0.01,3.83,1.24,NOISE
2021-12-02,NVDA,VISUAL BREAK (Sobel: 2.98 > 2.5),-0.02,2.98,-5.09,GOOD_SAVE
2021-12-03,NVDA,VISUAL BREAK (Sobel: 3.60 > 2.5),-0.0,3.6,-1.61,GOOD_SAVE
2021-12-06,NVDA,VISUAL BREAK (Sobel: 2.81 > 2.5),0.0,2.81,-6.25,GOOD_SAVE
2021-12-09,NVDA,VISUAL BREAK (Sobel: 2.83 > 2.5),-0.0,2.83,-6.9,GOOD_SAVE
2022-04-06,601899.SS,VISUAL BREAK (Sobel: 2.51 > 2.5),-0.0,2.51,8.02,MISSED_RALLY
2022-07-05,ARKK,VISUAL BREAK (Sobel: 3.20 > 2.5),-0.0,3.2,-1.45,GOOD_SAVE
2022-07-07,ARKK,VISUAL BREAK (Sobel: 2.81 > 2.5),0.01,2.81,-7.96,GOOD_SAVE
2022-07-08,ARKK,VISUAL BREAK (Sobel: 2.79 > 2.5),0.02,2.79,-5.87,GOOD_SAVE
2022-07-12,ARKK,VISUAL BREAK (Sobel: 2.58 > 2.5),-0.0,2.58,3.34,NOISE
2022-07-20,ARKK,VISUAL BREAK (Sobel: 2.55 > 2.5),-0.01,2.55,-3.62,GOOD_SAVE
2023-02-03,ARKK,VISUAL BREAK (Sobel: 2.55 > 2.5),-0.0,2.55,-8.63,GOOD_SAVE
2023-02-24,ARKK,VISUAL BREAK (Sobel: 2.57 > 2.5),-0.02,2.57,5.25,MISSED_RALLY
2023-05-25,NVDA,VISUAL BREAK (Sobel: 3.04 > 2.5),0.01,3.04,4.71,NOISE
2023-06-02,NVDA,VISUAL BREAK (Sobel: 2.66 > 2.5),0.01,2.66,-1.41,GOOD_SAVE
2023-06-05,NVDA,VISUAL BREAK (Sobel: 2.59 > 2.5),0.01,2.59,0.8,NOISE
2023-06-21,NVDA,VISUAL BREAK (Sobel: 2.63 > 2.5),-0.01,2.63,-4.48,GOOD_SAVE
2023-06-23,NVDA,VISUAL BREAK (Sobel: 2.66 > 2.5),0.01,2.66,0.22,NOISE
2024-03-11,NVDA,VISUAL BREAK (Sobel: 2.51 > 2.5),-0.01,2.51,3.13,NOISE
2024-03-14,NVDA,VISUAL BREAK (Sobel: 2.88 > 2.5),-0.01,2.88,3.97,NOISE
2024-03-15,NVDA,VISUAL BREAK (Sobel: 2.56 > 2.5),-0.01,2.56,7.35,MISSED_RALLY
2024-03-18,NVDA,VISUAL BREAK (Sobel: 2.65 > 2.5),-0.01,2.65,7.4,MISSED_RALLY
2024-03-19,NVDA,VISUAL BREAK (Sobel: 2.63 > 2.5),-0.0,2.63,3.54,NOISE
2024-05-23,NVDA,VISUAL BREAK (Sobel: 2.60 > 2.5),0.01,2.6,6.46,MISSED_RALLY
2024-06-07,NVDA,VISUAL BREAK (Sobel: 2.56 > 2.5),0.01,2.56,9.1,MISSED_RALLY
2024-06-20,NVDA,VISUAL BREAK (Sobel: 2.72 > 2.5),-0.01,2.72,-5.19,GOOD_SAVE
2024-07-30,XHB,VISUAL BREAK (Sobel: 2.53 > 2.5),0.01,2.53,-8.17,GOOD_SAVE
2025-10-09,601899.SS,VISUAL BREAK (Sobel: 3.28 > 2.5),-0.0,3.28,-5.9,GOOD_SAVE
2025-10-10,601899.SS,VISUAL BREAK (Sobel: 3.16 > 2.5),-0.0,3.16,-2.27,GOOD_SAVE
2025-10-16,601899.SS,VISUAL BREAK (Sobel: 2.65 > 2.5),0.0,2.65,-2.53,GOOD_SAVE
2025-10-16,PSLV,VISUAL BREAK (Sobel: 2.56 > 2.5),-0.0,2.56,-10.79,GOOD_SAVE
2025-10-22,601899.SS,VISUAL BREAK (Sobel: 2.52 > 2.5),-0.01,2.52,5.13,MISSED_RALLY
2025-12-25,PPLT,VISUAL BREAK (Sobel: 2.54 > 2.5),0.0,2.54,-4.9,GOOD_SAVE
2025-12-26,SLV,VISUAL BREAK (Sobel: 2.53 > 2.5),0.02,2.53,-2.87,GOOD_SAVE
2025-12-26,PSLV,VISUAL BREAK (Sobel: 2.61 > 2.5),-0.01,2.61,-2.69,GOOD_SAVE
2026-01-07,SLV,VISUAL BREAK (Sobel: 2.76 > 2.5),-0.01,2.76,19.17,MISSED_RALLY
2026-01-14,SLV,VISUAL BREAK (Sobel: 2.90 > 2.5),-0.01,2.9,-0.71,NOISE
2026-01-15,SLV,VISUAL BREAK (Sobel: 3.08 > 2.5),0.0,3.08,4.57,NOISE
2026-01-15,PSLV,VISUAL BREAK (Sobel: 2.57 > 2.5),-0.01,2.57,3.37,NOISE
2026-01-16,SLV,VISUAL BREAK (Sobel: 3.32 > 2.5),-0.0,3.32,14.68,MISSED_RALLY
2026-01-19,SLV,VISUAL BREAK (Sobel: 3.32 > 2.5),0.0,3.32,0.0,NOISE
2026-01-20,SLV,VISUAL BREAK (Sobel: 3.35 > 2.5),0.01,3.35,0.0,NOISE
2026-01-21,SLV,VISUAL BREAK (Sobel: 3.22 > 2.5),0.02,3.22,0.0,NOISE
2026-01-22,SLV,VISUAL BREAK (Sobel: 2.82 > 2.5),0.01,2.82,0.0,NOISE
2026-01-23,SLV,VISUAL BREAK (Sobel: 3.01 > 2.5),0.01,3.01,0.0,NOISE
